source,target,value
1,Community,7
1,dApp Tech,8
1,NFTs,0
1,Infra Tech,11
1,Grants Round 12,0
1,Building Gitcoin,0
1,dGov,0
1,Health,0
1,Crypto for Black Lives,0
1,APOLLO,0
1,Matic: Build-n-Earn,0
2,Community,11
2,dApp Tech,11
2,NFTs,0
2,Infra Tech,13
2,Grants Round 12,0
2,Building Gitcoin,1
2,dGov,0
2,Health,0
2,Crypto for Black Lives,0
2,APOLLO,0
2,Matic: Build-n-Earn,0
3,Community,19
3,dApp Tech,16
3,NFTs,0
3,Infra Tech,28
3,Grants Round 12,0
3,Building Gitcoin,1
3,dGov,0
3,Health,1
3,Crypto for Black Lives,0
3,APOLLO,0
3,Matic: Build-n-Earn,0
4,Community,46
4,dApp Tech,59
4,NFTs,0
4,Infra Tech,45
4,Grants Round 12,0
4,Building Gitcoin,1
4,dGov,0
4,Health,1
4,Crypto for Black Lives,0
4,APOLLO,0
4,Matic: Build-n-Earn,0
5,Community,89
5,dApp Tech,98
5,NFTs,1
5,Infra Tech,65
5,Grants Round 12,0
5,Building Gitcoin,1
5,dGov,3
5,Health,35
5,Crypto for Black Lives,0
5,APOLLO,0
5,Matic: Build-n-Earn,0
6,Community,199
6,dApp Tech,255
6,NFTs,1
6,Infra Tech,135
6,Grants Round 12,0
6,Building Gitcoin,1
6,dGov,4
6,Health,4
6,Crypto for Black Lives,8
6,APOLLO,0
6,Matic: Build-n-Earn,0
7,Community,114
7,dApp Tech,89
7,NFTs,2
7,Infra Tech,77
7,Grants Round 12,0
7,Building Gitcoin,1
7,dGov,3
7,Health,1
7,Crypto for Black Lives,0
7,APOLLO,3
7,Matic: Build-n-Earn,1
8,Community,159
8,dApp Tech,142
8,NFTs,4
8,Infra Tech,61
8,Grants Round 12,0
8,Building Gitcoin,1
8,dGov,3
8,Health,1
8,Crypto for Black Lives,0
8,APOLLO,0
8,Matic: Build-n-Earn,0
9,Community,269
9,dApp Tech,247
9,NFTs,60
9,Infra Tech,73
9,Grants Round 12,0
9,Building Gitcoin,0
9,dGov,4
9,Health,1
9,Crypto for Black Lives,0
9,APOLLO,0
9,Matic: Build-n-Earn,0
10,Community,267
10,dApp Tech,245
10,NFTs,105
10,Infra Tech,77
10,Grants Round 12,0
10,Building Gitcoin,11
10,dGov,17
10,Health,1
10,Crypto for Black Lives,0
10,APOLLO,0
10,Matic: Build-n-Earn,0
11,Community,259
11,dApp Tech,303
11,NFTs,121
11,Infra Tech,158
11,Grants Round 12,0
11,Building Gitcoin,11
11,dGov,25
11,Health,0
11,Crypto for Black Lives,0
11,APOLLO,0
11,Matic: Build-n-Earn,0
12,Community,700
12,dApp Tech,655
12,NFTs,140
12,Infra Tech,195
12,Grants Round 12,94
12,Building Gitcoin,0
12,dGov,28
12,Health,0
12,Crypto for Black Lives,0
12,APOLLO,0
12,Matic: Build-n-Earn,0