pk,round,total_earned,category,round_times,team_member,len_description,admin_profile_followers,admin_profile_following,admin_position,admin_grants_owned,admin_grants_contributed,stars,commits,issues,comments,tweet_count,count_likes,count_comments,count_retweet,followers_count,followings_count
149,12,154504.96,dApp Tech,9,4,5398,19052,18948,19,1,30,0,0,0,0,37,238,11,64,8725,18
149,11,37891.81,dApp Tech,8,4,5398,19052,18948,19,1,30,0,0,0,0,49,213,24,35,8725,18
149,10,45303.31,dApp Tech,7,4,5398,19052,18948,19,1,30,0,0,0,0,50,170,18,19,8725,18
149,9,19282.23,dApp Tech,6,4,5398,19052,18948,19,1,30,0,0,0,0,46,221,18,75,8725,18
149,8,25615.72,dApp Tech,5,4,5398,19052,18948,19,1,30,0,0,0,0,50,149,21,24,8725,18
149,7,28550.04,dApp Tech,4,4,5398,19052,18948,19,1,30,0,0,0,0,49,165,21,31,8725,18
149,6,4527.64,dApp Tech,3,4,5398,19052,18948,19,1,30,8,62,2,45,51,330,29,103,8725,18
149,5,3745.48,dApp Tech,2,4,5398,19052,18948,19,1,30,10,71,2,48,49,131,25,29,8725,18
149,4,3961.96,dApp Tech,1,4,5398,19052,18948,19,1,30,16,40,1,63,50,153,18,30,8725,18
4352,12,241184.2,Grants Round 12,1,,,,,,,,18,107,0,58,51,4044,371,350,58382,107
3857,12,112437.23,Community,1,3,775,8582,8600,87,1,0,13,10,0,7,0,0,0,0,31,0
172,12,111917.98,dApp Tech,8,1,1341,20183,20182,40,1,4,0,0,0,0,3,32,12,6,1821,61
172,11,26618.25,dApp Tech,7,1,1341,20183,20182,40,1,4,0,0,0,0,0,0,0,0,1821,61
172,10,419.25,dApp Tech,6,1,1341,20183,20182,40,1,4,0,0,0,0,0,0,0,0,1821,61
172,9,20716.54,dApp Tech,5,1,1341,20183,20182,40,1,4,0,0,0,0,1,9,2,4,1821,61
172,8,611.22,dApp Tech,4,1,1341,20183,20182,40,1,4,0,0,0,0,1,3,0,1,1821,61
172,7,133.63,dApp Tech,3,1,1341,20183,20182,40,1,4,3,43,0,1,2,4,0,1,1821,61
172,6,1482.01,dApp Tech,2,1,1341,20183,20182,40,1,4,0,11,0,0,1,5,0,2,1821,61
172,5,549.96,dApp Tech,1,1,1341,20183,20182,40,1,4,2,108,0,0,5,59,1,14,1821,61
1143,12,84816.85,dApp Tech,6,,,,,,,,0,0,0,0,4,67,4,6,12321,599
1143,11,44859.04,dApp Tech,5,,,,,,,,0,0,0,0,46,1477,99,272,12321,599
1143,10,5764.71,dApp Tech,4,,,,,,,,0,0,0,0,13,37,1,7,12321,599
1143,9,1450.87,dApp Tech,3,,,,,,,,3,5,0,4,7,19,1,4,12321,599
1143,8,1244.53,dApp Tech,2,,,,,,,,1,7,0,2,8,16,4,3,12321,599
1143,7,615.38,dApp Tech,1,,,,,,,,3,1,1,26,20,77,10,13,12321,599
1592,12,71109.66,dApp Tech,5,2,456,10649,10672,91,3,6,0,0,0,0,0,0,0,0,10647,4
1592,11,19155.27,dApp Tech,4,2,456,10649,10672,91,3,6,0,0,0,0,2,98,7,26,10647,4
1592,10,21178.95,dApp Tech,3,2,456,10649,10672,91,3,6,0,0,0,0,2,328,83,57,10647,4
1592,9,7614.55,dApp Tech,2,2,456,10649,10672,91,3,6,46,57,6,129,3,309,24,39,10647,4
1592,8,154414.45,dApp Tech,1,2,456,10649,10672,91,3,6,30,120,8,84,2,28,0,7,10647,4
337,12,50776.68,Infra Tech,7,2,2459,10752,10730,312,4,67,0,0,0,0,0,0,0,0,309,3
337,11,9856.43,Infra Tech,6,2,2459,10752,10730,312,4,67,0,0,0,0,1,3,1,1,309,3
337,10,12886.87,Infra Tech,5,2,2459,10752,10730,312,4,67,0,0,0,0,0,0,0,0,309,3
337,9,12185.65,Infra Tech,4,2,2459,10752,10730,312,4,67,0,0,0,0,2,3,0,2,309,3
337,8,5620.65,Infra Tech,3,2,2459,10752,10730,312,4,67,0,3,0,0,0,0,0,0,309,3
337,7,1380.72,Infra Tech,2,2,2459,10752,10730,312,4,67,0,0,0,0,0,0,0,0,309,3
337,6,0.08,Infra Tech,1,2,2459,10752,10730,312,4,67,0,0,0,0,0,0,0,0,309,3
2323,12,180574.64,dApp Tech,4,3,3645,24478,24487,97,3,43,0,0,0,0,9,696,101,440,23327,106
2323,11,97934.07,dApp Tech,3,3,3645,24478,24487,97,3,43,15,2,0,2,0,0,0,0,23327,106
2323,10,41943.51,dApp Tech,2,3,3645,24478,24487,97,3,43,25,56,1,57,46,787,69,82,23327,106
2323,9,17369.47,dApp Tech,1,3,3645,24478,24487,97,3,43,8,0,0,0,12,295,31,45,23327,106
4019,12,71747.35,dGov,1,1,23793,11613,11651,16,2,2,0,135,0,0,6,30,3,12,253,40
821,12,80342.05,Infra Tech,7,2,6889,20755,20710,18,3,142,0,0,0,0,12,357,29,88,4799,0
821,11,38557.53,Infra Tech,6,2,6889,20755,20710,18,3,142,0,0,0,0,2,70,2,19,4799,0
821,10,18003.53,Infra Tech,5,2,6889,20755,20710,18,3,142,0,0,0,0,10,88,6,19,4799,0
821,9,22730.57,Infra Tech,4,2,6889,20755,20710,18,3,142,0,0,0,0,13,62,10,17,4799,0
821,8,3814.98,Infra Tech,3,2,6889,20755,20710,18,3,142,1,16,0,24,5,18,1,3,4799,0
821,7,4333.0,Infra Tech,2,2,6889,20755,20710,18,3,142,2,8,0,10,4,40,8,10,4799,0
821,6,2400.79,Infra Tech,1,2,6889,20755,20710,18,3,142,10,0,1,3,9,165,8,44,4799,0
3133,12,91301.78,Infra Tech,3,,,,,,,,8,75,0,34,53,2665,307,395,18419,1440
3133,11,57347.62,Infra Tech,2,,,,,,,,3,390,0,3,53,14243,1730,2107,18419,1440
3133,10,3453.55,Infra Tech,1,,,,,,,,1,554,0,2,5,52,3,23,18419,1440
490,12,98819.58,NFTs,8,1,3337,25062,25020,54,1,86,0,0,0,0,27,3975,447,1018,61712,889
490,11,69417.78,NFTs,7,1,3337,25062,25020,54,1,86,0,0,0,0,59,3115,412,481,61712,889
490,10,58214.3,NFTs,6,1,3337,25062,25020,54,1,86,0,0,0,0,17,645,60,129,61712,889
490,9,46686.34,NFTs,5,1,3337,25062,25020,54,1,86,0,0,0,0,10,186,15,28,61712,889
490,8,10108.34,NFTs,4,1,3337,25062,25020,54,1,86,0,0,0,0,7,67,6,5,61712,889
490,7,11254.21,NFTs,3,1,3337,25062,25020,54,1,86,0,4,0,0,15,486,24,101,61712,889
490,6,3160.85,NFTs,2,1,3337,25062,25020,54,1,86,0,35,0,1,6,34,2,8,61712,889
490,5,6148.32,NFTs,1,1,3337,25062,25020,54,1,86,0,3,0,0,11,136,9,35,61712,889
1080,12,46985.5,dApp Tech,4,1,2699,1761,1773,222,2,296,0,0,0,0,38,927,106,233,2530,126
1080,11,65.29,dApp Tech,3,1,2699,1761,1773,222,2,296,1,102,0,0,16,263,13,24,2530,126
1080,10,112.16,dApp Tech,2,1,2699,1761,1773,222,2,296,1,238,0,2,4,224,15,53,2530,126
1080,9,173.37,dApp Tech,1,1,2699,1761,1773,222,2,296,0,0,0,0,8,56,47,10,2530,126
3335,12,35256.44,Infra Tech,2,1,5434,,,325,,,1,0,0,0,5,1656,69,256,4542,344
3335,11,15548.58,Infra Tech,1,1,5434,,,325,,,0,0,0,0,3,72,19,16,4542,344
1403,12,47924.82,NFTs,4,3,5656,13433,13432,86,2,113,0,0,0,0,7,25,3,4,1113,1166
1403,11,19329.74,NFTs,3,3,5656,13433,13432,86,2,113,0,57,0,3,5,7,3,3,1113,1166
1403,10,14219.42,NFTs,2,3,5656,13433,13432,86,2,113,1,56,0,5,27,325,40,69,1113,1166
1403,9,8241.31,NFTs,1,3,5656,13433,13432,86,2,113,2,46,0,8,14,153,6,42,1113,1166
4165,12,37821.9,Grants Round 12,1,,,,,,,,9,0,0,0,3,263,14,49,14611,9
191,12,31719.37,dApp Tech,9,3,3476,15453,15423,61,1,86,0,0,0,0,15,258,22,49,14227,381
191,11,18542.85,dApp Tech,8,3,3476,15453,15423,61,1,86,0,0,0,0,18,982,199,319,14227,381
191,10,47951.92,dApp Tech,7,3,3476,15453,15423,61,1,86,0,0,0,0,8,57,2,37,14227,381
191,9,17238.27,dApp Tech,6,3,3476,15453,15423,61,1,86,0,0,0,0,17,461,18,175,14227,381
191,8,9956.68,dApp Tech,5,3,3476,15453,15423,61,1,86,0,0,0,0,13,137,7,47,14227,381
191,7,35231.51,dApp Tech,4,3,3476,15453,15423,61,1,86,0,0,0,0,36,1529,129,364,14227,381
191,6,1392.16,dApp Tech,3,3,3476,15453,15423,61,1,86,3,97,3,51,19,239,6,73,14227,381
191,5,815.42,dApp Tech,2,3,3476,15453,15423,61,1,86,1,88,2,15,18,232,20,65,14227,381
191,4,1535.27,dApp Tech,1,3,3476,15453,15423,61,1,86,1,33,0,2,7,125,21,35,14227,381
3930,12,19759.06,Community,1,2,7839,385,382,0,2,21,0,2,0,0,52,173,31,11,1901,2606
1809,12,33372.4,dApp Tech,5,1,1209,8364,8369,9,1,55,0,0,0,0,16,333,33,68,22123,2222
1809,11,13760.45,dApp Tech,4,1,1209,8364,8369,9,1,55,0,0,0,0,24,289,30,39,22123,2222
1809,10,3244.53,dApp Tech,3,1,1209,8364,8369,9,1,55,0,0,0,0,12,213,31,19,22123,2222
1809,9,24595.55,dApp Tech,2,1,1209,8364,8369,9,1,55,34,226,0,11,30,847,94,116,22123,2222
1809,8,8213.36,dApp Tech,1,1,1209,8364,8369,9,1,55,2,13,0,0,16,143,15,41,22123,2222
2916,12,27756.77,Community,3,,,,,,,,4,238,3,102,49,3033,582,547,56903,28
2916,11,9706.13,Community,2,,,,,,,,4,197,5,77,61,2065,124,549,56903,28
2916,10,2002.01,Community,1,,,,,,,,8,69,1,25,61,1867,181,372,56903,28
3386,12,28073.06,dGov,2,3,2528,5045,5054,198,1,0,1,25,0,22,46,1711,141,484,1319,584
3386,11,11218.48,dGov,1,3,2528,5045,5054,198,1,0,0,0,0,0,27,143,22,68,1319,584
3012,12,22376.78,dApp Tech,3,2,2052,4938,4956,768,2,2,1,17,1,14,0,0,0,0,105,5
3012,11,6938.24,dApp Tech,2,2,2052,4938,4956,768,2,2,0,8,0,0,1,0,0,0,105,5
3012,10,16.47,dApp Tech,1,2,2052,4938,4956,768,2,2,0,41,0,1,1,1,2,0,105,5
13,12,37314.26,Infra Tech,12,1,1616,13211,13239,34,1,149,0,0,0,0,28,632,82,116,4156,241
13,11,13186.37,Infra Tech,11,1,1616,13211,13239,34,1,149,0,0,0,0,29,2328,75,1664,4156,241
13,10,49137.45,Infra Tech,10,1,1616,13211,13239,34,1,149,0,0,0,0,37,404,36,55,4156,241
13,9,21223.5,Infra Tech,9,1,1616,13211,13239,34,1,149,0,0,0,0,14,126,11,3,4156,241
13,8,24791.6,Infra Tech,8,1,1616,13211,13239,34,1,149,0,0,0,0,33,238,38,37,4156,241
13,7,6209.48,Infra Tech,7,1,1616,13211,13239,34,1,149,0,0,0,0,9,66,8,10,4156,241
13,6,4297.01,Infra Tech,6,1,1616,13211,13239,34,1,149,0,0,0,0,33,67,29,9,4156,241
13,5,2742.39,Infra Tech,5,1,1616,13211,13239,34,1,149,0,0,0,0,13,109,11,19,4156,241
13,4,3086.0,Infra Tech,4,1,1616,13211,13239,34,1,149,0,0,0,0,10,40,13,8,4156,241
13,3,7205.53,Infra Tech,3,1,1616,13211,13239,34,1,149,0,0,0,0,14,104,15,6,4156,241
13,2,3290.92,Infra Tech,2,1,1616,13211,13239,34,1,149,26,1,0,88,6,14,6,1,4156,241
13,1,3003.27,Infra Tech,1,1,1616,13211,13239,34,1,149,20,18,1,82,13,52,7,9,4156,241
3814,12,47713.56,Community,1,,,,,,,,0,1,0,0,2,13,2,2,6636,5
25,12,30502.35,Infra Tech,12,1,364,12136,12158,16,1,6,0,0,0,0,2,6,3,1,3948,312
25,11,13652.53,Infra Tech,11,1,364,12136,12158,16,1,6,0,0,0,0,8,283,19,59,3948,312
25,10,52446.07,Infra Tech,10,1,364,12136,12158,16,1,6,0,0,0,0,3,54,1,4,3948,312
25,9,17564.72,Infra Tech,9,1,364,12136,12158,16,1,6,0,0,0,0,5,111,4,27,3948,312
25,8,37892.28,Infra Tech,8,1,364,12136,12158,16,1,6,0,0,0,0,10,465,15,69,3948,312
25,7,3214.91,Infra Tech,7,1,364,12136,12158,16,1,6,0,0,0,0,4,41,1,7,3948,312
25,6,4727.57,Infra Tech,6,1,364,12136,12158,16,1,6,0,0,0,0,1,25,3,2,3948,312
25,5,2242.98,Infra Tech,5,1,364,12136,12158,16,1,6,0,0,0,0,0,0,0,0,3948,312
25,4,3020.28,Infra Tech,4,1,364,12136,12158,16,1,6,0,0,0,0,30,454,28,70,3948,312
25,3,15160.45,Infra Tech,3,1,364,12136,12158,16,1,6,0,0,0,0,10,726,26,145,3948,312
25,2,4162.0,Infra Tech,2,1,364,12136,12158,16,1,6,9,302,0,93,5,226,24,47,3948,312
25,1,2105.16,Infra Tech,1,1,364,12136,12158,16,1,6,6,128,0,83,21,341,46,84,3948,312
24,12,27615.18,Infra Tech,12,3,1008,14042,13972,38,1,14,0,0,0,0,1,41,4,9,17006,9
24,11,20275.63,Infra Tech,11,3,1008,14042,13972,38,1,14,0,0,0,0,0,0,0,0,17006,9
24,10,54210.29,Infra Tech,10,3,1008,14042,13972,38,1,14,0,0,0,0,1,30,1,6,17006,9
24,9,29459.4,Infra Tech,9,3,1008,14042,13972,38,1,14,0,0,0,0,0,0,0,0,17006,9
24,8,41549.79,Infra Tech,8,3,1008,14042,13972,38,1,14,0,0,0,0,3,180,1,39,17006,9
24,7,5912.97,Infra Tech,7,3,1008,14042,13972,38,1,14,0,0,0,0,1,73,1,22,17006,9
24,6,7660.0,Infra Tech,6,3,1008,14042,13972,38,1,14,0,0,0,0,0,0,0,0,17006,9
24,5,3885.12,Infra Tech,5,3,1008,14042,13972,38,1,14,0,0,0,0,1,82,1,19,17006,9
24,4,7803.43,Infra Tech,4,3,1008,14042,13972,38,1,14,0,0,0,0,0,0,0,0,17006,9
24,3,14001.58,Infra Tech,3,3,1008,14042,13972,38,1,14,0,0,0,0,0,0,0,0,17006,9
24,2,9263.0,Infra Tech,2,3,1008,14042,13972,38,1,14,35,106,0,350,1,261,7,74,17006,9
24,1,5925.03,Infra Tech,1,3,1008,14042,13972,38,1,14,17,80,0,216,0,0,0,0,17006,9
972,12,19295.6,Infra Tech,7,1,3255,6428,6451,147,5,54,0,0,0,0,23,587,219,68,3202,3415
972,11,13277.74,Infra Tech,6,1,3255,6428,6451,147,5,54,0,0,0,0,48,397,35,42,3202,3415
972,10,6824.48,Infra Tech,5,1,3255,6428,6451,147,5,54,0,0,0,0,13,132,11,19,3202,3415
972,9,4312.81,Infra Tech,4,1,3255,6428,6451,147,5,54,0,0,0,0,53,302,52,62,3202,3415
972,8,10474.92,Infra Tech,3,1,3255,6428,6451,147,5,54,9,10,0,7,21,161,18,27,3202,3415
972,7,215.08,Infra Tech,2,1,3255,6428,6451,147,5,54,5,21,0,28,14,53,12,6,3202,3415
972,6,38.13,Infra Tech,1,1,3255,6428,6451,147,5,54,4,35,0,8,9,107,12,18,3202,3415
2575,12,11914.36,dApp Tech,3,1,733,6959,6979,32,1,49,0,0,0,0,0,0,0,0,2981,9
2575,11,5643.38,dApp Tech,2,1,733,6959,6979,32,1,49,0,0,0,0,15,63,10,10,2981,9
2575,10,11146.3,dApp Tech,1,1,733,6959,6979,32,1,49,0,0,0,0,8,336,34,120,2981,9
2235,12,14652.46,dApp Tech,4,2,1518,5229,5238,24,2,79,0,0,0,0,4,148,23,59,1353,99
2235,11,8596.39,dApp Tech,3,2,1518,5229,5238,24,2,79,0,0,0,0,1,3,0,0,1353,99
2235,10,486.01,dApp Tech,2,2,1518,5229,5238,24,2,79,0,26,2,8,7,11,1,2,1353,99
2235,9,2722.85,dApp Tech,1,2,1518,5229,5238,24,2,79,0,0,0,0,5,191,9,56,1353,99
3059,12,40062.89,dApp Tech,3,5,3397,2822,2837,148,1,24,0,0,0,0,13,1056,46,199,12047,389
3059,11,5961.36,dApp Tech,2,5,3397,2822,2837,148,1,24,1,0,0,0,8,231,14,64,12047,389
3059,10,364.05,dApp Tech,1,5,3397,2822,2837,148,1,24,0,0,0,0,1,31,2,10,12047,389
329,12,16276.72,Community,12,1,556,9555,9603,45,4,58,0,0,0,0,26,537,21,107,15436,45
329,11,25707.03,Community,11,1,556,9555,9603,45,4,58,0,0,0,0,12,96,4,17,15436,45
329,10,4268.41,Community,10,1,556,9555,9603,45,4,58,0,0,0,0,14,212,16,47,15436,45
329,9,8337.15,Community,9,1,556,9555,9603,45,4,58,0,0,0,0,23,317,12,87,15436,45
329,8,5118.79,Community,8,1,556,9555,9603,45,4,58,0,0,0,0,13,95,1,29,15436,45
329,7,11431.8,Community,7,1,556,9555,9603,45,4,58,0,0,0,0,12,81,6,24,15436,45
329,6,1584.51,Community,6,1,556,9555,9603,45,4,58,0,0,0,0,17,128,3,34,15436,45
329,5,618.41,Community,5,1,556,9555,9603,45,4,58,0,0,0,0,23,309,9,97,15436,45
329,4,3392.7,Community,4,1,556,9555,9603,45,4,58,0,0,0,0,30,309,19,47,15436,45
329,3,448.0,Community,3,1,556,9555,9603,45,4,58,0,0,0,0,11,538,173,93,15436,45
329,2,677.0,Community,2,1,556,9555,9603,45,4,58,0,0,0,0,26,374,12,120,15436,45
329,1,474.3,Community,1,1,556,9555,9603,45,4,58,0,0,0,0,5,21,0,6,15436,45
2229,12,11486.32,dApp Tech,4,4,1295,4432,4446,67,2,5,0,0,0,0,12,109,8,24,3772,5
2229,11,54.74,dApp Tech,3,4,1295,4432,4446,67,2,5,35,69,0,5,22,359,41,126,3772,5
2229,10,1888.47,dApp Tech,2,4,1295,4432,4446,67,2,5,7,85,0,6,12,152,14,58,3772,5
2229,9,157.45,dApp Tech,1,4,1295,4432,4446,67,2,5,1,271,0,24,13,854924,34341,106167,3772,5
3595,12,11789.74,Community,2,4,440,9555,9603,45,4,58,12,0,0,0,30,847,22,174,2212,9
3595,11,152.9,Community,1,4,440,9555,9603,45,4,58,9,0,1,24,2,89,2,26,2212,9
2851,12,13659.2,Infra Tech,3,1,475,9970,9946,120,6,39,240,19,1,16,30,475,86,71,45760,5871
2851,11,3976.87,Infra Tech,2,1,475,9970,9946,120,6,39,298,34,4,63,86,7468,468,712,45760,5871
2851,10,8687.53,Infra Tech,1,1,475,9970,9946,120,6,39,141,40,10,119,104,2416,196,446,45760,5871
137,12,28571.18,Infra Tech,10,5,3196,9291,9275,43,1,2,0,0,0,0,21,221,30,46,4470,1161
137,11,14292.11,Infra Tech,9,5,3196,9291,9275,43,1,2,0,0,0,0,7,344,25,49,4470,1161
137,10,12775.52,Infra Tech,8,5,3196,9291,9275,43,1,2,0,0,0,0,18,316,8,87,4470,1161
137,9,16552.08,Infra Tech,7,5,3196,9291,9275,43,1,2,0,0,0,0,23,345,30,91,4470,1161
137,8,49679.86,Infra Tech,6,5,3196,9291,9275,43,1,2,0,0,0,0,24,1779,114,229,4470,1161
137,7,4128.78,Infra Tech,5,5,3196,9291,9275,43,1,2,0,0,0,0,19,261,34,82,4470,1161
137,6,546.69,Infra Tech,4,5,3196,9291,9275,43,1,2,0,0,0,0,5,284,9,84,4470,1161
